Source_Mol,Target_Mol,Tissue,Source_Organism,Target_Organism,Label
COP(=S)(OC)OC1=CC=C(C(C)=C1)[N+]([O-])=O,COP(=S)(OC)OC1=CC=C(C(C)=C1)[N+]([O-])=O,prostate,Rat,Human,1
OC(=O)\C=C/C(O)=O.CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=CC=CC=N1,OC(=O)\C=C/C(O)=O.C(C(C1CCCCC1)C1CCCCC1)C1CCCCN1,kidney,Rat,Human,1
O.O.O.O.[Na+].[O-]C1=C(C=CC=C1)C1=CC=CC=C1,N(C1=CC=CC=C1)C1=CC=CC=C1,prostate,Rat,Human,1
"CCCCCCCCCCCC*.OS(=O)(=O)C1=CC=CC=C1 |c:18,20,t:16,lp:13:2,15:2,16:2,m:12:20.21.22|",CCCCCCCCCCCCN1CCOCC1,kidney,Rat,Human,1
"CCCCCCCCCCCC*.OS(=O)(=O)C1=CC=CC=C1 |c:18,20,t:16,lp:13:2,15:2,16:2,m:12:20.21.22|",CCCCCCCCCCCCN(CCO)CCO,kidney,Rat,Human,1
CCOP(=S)(OCC)OC1=NC(=NC(C)=C1)C(C)C,CCOP(=S)(OCC)OC1=NC(=NC(C)=C1)C(C)C,kidney,Rat,Human,1
CCCCNS(=O)(=O)C1=CC=CC=C1,Cl.CCCNC(C)(C)COC(=O)C1=CC=CC=C1,kidney,Rat,Human,1
CN(C)C(=S)SC(=S)N(C)C,[Zn++].CN(C)C([S-])=S.CN(C)C([S-])=S,kidney,Rat,Human,1
CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,COC1=CC=C(C=C1)C(=O)NC1=C(C#N)C(NCC2=CC=CC=C2)=C2C=CC=CC2=N1,prostate,Rat,Human,1
CC(C)(O)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,OC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,kidney,Rat,Human,1
CN(C)C1=CC=C(C=C1)C(C1=CC=CC=C1)C1=CC=C(C=C1)N(C)C,CN(C)C1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC(=C2)N(C)C)C1=CC=C(C=C1)N(C)C,kidney,Rat,Human,1
CC(C)=CC1C(C(=O)OCC2=COC(CC3=CC=CC=C3)=C2)C1(C)C,CC1=C(C=CC=C1COC(=O)[C@@H]1[C@H](\C=C(/Cl)C(F)(F)F)C1(C)C)C1=CC=CC=C1,prostate,Rat,Human,1
NC(=O)CN(CC(F)(F)F)C1=CC(=C(C=C1)C#N)C(F)(F)F,NC(=O)C=C,prostate,Rat,Human,1
CC(C)(C)C1=CC=C(OC2CCCCC2OS(=O)OCC#C)C=C1,CC(CC1=CC=C(C=C1)C(C)(C)C)C=O,kidney,Rat,Human,1
CC1(C)NC(=O)N(C1=O)C1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,CN1C=NC(=C1SC1=NC=NC2=C1NC=N2)[N+]([O-])=O,prostate,Rat,Human,1
CCCCN(CCCC)C(=O)N(CCCC)CCCC,[Zn++].CCCCN(CCCC)C([S-])=S.CCCCN(CCCC)C([S-])=S,kidney,Rat,Human,1
CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,CCC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,kidney,Rat,Human,1
CC(O)(CS(=O)(=O)C1=CC=C(F)C=C1)C(=O)NC1=CC(=C(C=C1)C#N)C(F)(F)F,CCOCN1C(=C(C#N)C(Br)=C1C(F)(F)F)C1=CC=C(Cl)C=C1,prostate,Rat,Human,1
CC(C)(C)C(=O)C(OC1=CC=C(Cl)C=C1)N1C=NC=N1,CC(C)(C)C(O)C(=C/C1=C(Cl)C=C(Cl)C=C1)\N1C=NC=N1,kidney,Rat,Human,1
[Ca++].CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C1=CC=C(F)C=C1)C1=CC=CC=C1.CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C1=CC=C(F)C=C1)C1=CC=CC=C1,[H][C@]12CSC(=N1)\C(NC(=O)C(NC(=O)C1=CSC(=N1)[C@@]13CCC(=N[C@]1([H])C1=CSC(=N1)[C@@]([H])(NC(=O)C1=CSC(=N1)[C@@]([H])(NC2=O)[C@](C)(O)[C@@H](C)O)[C@@H](C)OC(=O)C1=CC([C@H](C)O)=C2C=CC(NC([C@@H](C)CC)C(=O)N[C@@H](C)C(=O)NC(=C)C(=O)N[C@@H](C)C(=O)N3)C([H])(O)C2=N1)C1=NC(=CS1)C(=O)NC(=C)C(=O)NC(=C)C(N)=O)[C@@H](C)O)=C\C,kidney,Rat,Human,1
CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,OCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,kidney,Rat,Human,1
C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,prostate,Rat,Human,1
NC1=CC=C(C=C1)\N=N\C1=CC=CC=C1,CN(C)C1=CC=C(C=C1)N=NC1=CC(C)=CC=C1,kidney,Rat,Human,1
ClCC(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl,ClCC(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl,kidney,Rat,Human,1
CC1=CC(=C(O)C(=C1)N1N=C2C=CC(Cl)=CC2=N1)C(C)(C)C,CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,prostate,Rat,Human,1
CCOP(=S)(OCC)O\N=C(/C#N)C1=CC=CC=C1,CCOP(=S)(OCC)O\N=C(/C#N)C1=CC=CC=C1,kidney,Rat,Human,1
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CCC2=O,C[C@@H]1[C@@H]2NC[C@@H](C)C[C@H]2O[C@]11CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC2=C1C,prostate,Rat,Human,1
CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,Cl.CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,prostate,Rat,Human,1
[Na+].CCCCC1=NC2=C(N=CC=C2)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NN=N[N-]1,[Na+].CCCCC1=NC2=C(N=CC=C2)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NN=N[N-]1,kidney,Rat,Human,1
[Na+].OC1=C(N=NC2=CC=C(C=C2)S([O-])(=O)=O)C2=CC=CC=C2C=C1,[Na+].[Na+].[Na+].[O-]C(=O)C1=C(\N=N\C2=CC=C(C=C2)S([O-])(=O)=O)C(=O)N(N1)C1=CC=C(C=C1)S([O-])(=O)=O,prostate,Rat,Human,1
CC(C)(C)C1=CSC(=N1)C1=CC2=C(O1)C=CC(OCC1=CC=CC=C1CC(O)=O)=C2,CC1=C(O)C(C)=C2CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)OC2=C1C,prostate,Rat,Human,1
CCCCC(CC)COC(=O)C1=CC=C(O)C=C1,CCCCCCCOC(=O)C1=CC=C(O)C=C1,prostate,Rat,Human,1
CCOC(=O)CCN(SN(C)C(=O)OC1=CC=CC2=C1OC(C)(C)C2)C(C)C,[Na+].[Na+].C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(OC(=O)N(CCCl)CCCl)=C4)[C@@H]1CC[C@@H]2OP([O-])([O-])=O,kidney,Rat,Human,1
CC1=C2C=CC=CC2=C(C)C2=C3C=CC=CC3=CC=C12,C1=CC=C2C(C=CC3=C2C=CC=N3)=C1,kidney,Rat,Human,1
O=C1C=C(OC2=CC=CC=C12)C1=CC=CC=C1,O=C1C=C(OC2=CC=CC=C12)C1=CC=CC=C1,kidney,Rat,Human,1
COC1=CC(C=CC)=CC=C1O,CC1=CC(O)=C(C=C1)C(C)(C)C,kidney,Rat,Human,1
CCCCCCCCCCCCCOP(O)(O)=O,CCCCCCCCCCCO,prostate,Rat,Human,1
Cl.CN(C)C1=CC=C(C=C1)C(=N)C1=CC=C(C=C1)N(C)C,CN(C)C1=CC=C(C=C1)C(=O)C1=CC=C(C=C1)N(C)C,kidney,Rat,Human,1
OC1=CC2=C(C=C1)C1(OC(=O)C3=C1C=CC=C3)C1=C(O2)C=C(O)C=C1,OC1=C(Br)C=C(C=C1Br)C1(OS(=O)(=O)C2=C1C=CC=C2)C1=CC(Br)=C(O)C(Br)=C1,kidney,Rat,Human,1
[Na+].CC1=CC=C(N=NC2=C(O)C=CC(N=NC3=CC=C(C=C3)S([O-])(=O)=O)=C2O)C(C)=C1,[Na+].[Na+].COC1=C(C=C(C)C(=C1)S([O-])(=O)=O)\N=N\C1=C2C=CC(=CC2=CC=C1O)S([O-])(=O)=O,kidney,Rat,Human,1
N(C1=CC=CC=C1)C1=CC=C2C=CC=CC2=C1,O=NC1=CC=C(NC2=CC=CC=C2)C=C1,kidney,Rat,Human,1
CC(C)OC1=CC=CC(NC(=O)C2=C(C)C=CC=C2)=C1,OC1=CC2=C(C=CC=C2)C=C1C(=O)NC1=CC=CC(=C1)[N+]([O-])=O,kidney,Rat,Human,1
FC(F)(F)C1=CC=CC(C(=O)N[C@H]([C@@H]2CCCCN2)C2=CC=CC=C2)=C1Cl,Cl.O[C@H]([C@H]1CCCCN1)C1=CC(=NC2=C1C=CC=C2C(F)(F)F)C(F)(F)F,kidney,Rat,Human,1
OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(O)C=C1,OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(O)C=C1,kidney,Rat,Human,1
CNC(=O)OC1=CC(C)=C(SC)C(C)=C1,CC1=C(C=C(C(O)=C1)C(C)(C)C)C(C)(C)C,kidney,Rat,Human,1
Cl.COC1=CC2=CC=C(C=C2C=C1)S(=O)(=O)N[C@H](CC(=O)N[C@H](CC1=CC=C(CN2[C@@H](C)CCC[C@H]2C)C=C1)C(=O)N(C)C(C)C)C1=CC2=C(OCO2)C=C1,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2,prostate,Rat,Human,1
[Na+].CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S([O-])(=O)=O,CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC,kidney,Rat,Human,1
COP(=S)(OC)OC1=CC=C(C(C)=C1)[N+]([O-])=O,COP(=S)(NC(C)C)OC1=C(C=C(C)C=C1)[N+]([O-])=O,kidney,Rat,Human,1
[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)CC[C@]12C,C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@@]4(C)[C@H](CC[C@@H]5[C@@H]4C[C@@H](O)[C@]4(C)[C@H](CC[C@]54O)C4=CC(=O)OC4)C3)O[C@@H]2C)O[C@@H]1C,prostate,Rat,Human,1
Cl.OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=CC=C(O)C=C2S1,CCC1=C(N(N=C1C(=O)NN1CCCCC1)C1=CC=C(Cl)C=C1Cl)C1=CC=C(Br)C=C1,kidney,Rat,Human,1
