Source_Mol,Optimized_Mol,Tissue,Source_Organism,Optimized_Organism,Tanimoto_Similarity,Tissue_Activity,Novelty,Diversity,,,Tanimoto_Similarity,Tissue_Activity
COC1=C(NNC(=O)OC(C)C)C=C(C=C1)C1=CC=CC=C1,COc1ccc(Cl)cc1NC(=O)c1cc2ccccc2o1,kidney,Rat,Human,0.486363636,0.044060949,1,0.368200837,,,,
[Na+].CCOC1=CC(=CC=C1)N1C=C(N=C1C1=CC=C(C)C=C1)C(=O)N1CCN(CC1)C1=CC2=CC=CC=C2C(=C1)C([O-])=O,COc1ccc(N2CCN(C(=O)[C@@H](C)NC(=O)c3n[nH]c(C)n3)[C@@H](c3ccc(C)cc3)C2)cc1,prostate,Rat,Human,0.389940828,0.422352999,1,0.510869565,,,,
CC1=NC(NC2=CC=CC=C2)=NC(=C1)C1CC1,Cc1ccc(-n2ncc(C(=O)Nc3ccccc3)c2C)cc1,kidney,Rat,Human,0.387356322,0.024233045,1,0.368200837,,,,
OC1=CC=C(C=C1)C(C1=CC=C(O)C=C1)(C(F)(F)F)C(F)(F)F,CS(=O)(=O)N[C@H](COc1ccc(C(F)(F)F)cc1)c1ccccc1,kidney,Rat,Human,0.37,0.14688383,1,0.368200837,,,,
CC(C)(C1=CC=CC=C1)C1=CC=C(O)C=C1,O=C(Nc1ccc(Cl)cc1)[C@@H]1CC(c2ccccc2)=NO1,kidney,Rat,Human,0.392682927,0.073363364,1,0.368200837,,,,
O=C1C=C(OC2=CC=CC=C12)C1=CC=CC=C1,Cc1cc(F)cc(N2CC[C@@H]([NH2+][C@H]3CCCc4ccccc43)C2)c1,kidney,Rat,Human,0.288118812,0.289290845,1,0.368200837,,,,
[Na+].CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S([O-])(=O)=O,CC[C@H](C)NC(=O)Cn1cc(C(=O)N[C@H]2CCCC[C@@H]2O)c2ccccc21,kidney,Rat,Human,0.19352518,0.067625687,1,0.368200837,,,,
OC1=CC=C(C=C1)C(=O)OC1=CC=CC=C1,O=C(COc1cccnc1)c1ccc(Cl)cc1,kidney,Rat,Human,0.476811594,0.013786609,1,0.368200837,,,,
COP(=S)(OC)OC1=CC=C(C(C)=C1)[N+]([O-])=O,CCOc1cc(CNC(C)=O)ccc1O[C@@H](C)c1ccccc1,prostate,Rat,Human,0.257894737,0.467056721,1,0.510869565,,,,
CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,Cc1ccc(C(=O)N2CCO[C@@H](CC(=O)N[C@H]3CO[C@H](C)C3)C2)cc1,prostate,Rat,Human,0.265137615,0.416849643,1,0.510869565,,,,
O=C(C(=O)C1=CC=CC=C1)C1=CC=CC=C1,CN(CC1=CC[C@@H](N)C=C1)n1ccc(=O)c2ccccc21,kidney,Rat,Human,0.318390805,0.041622791,1,0.368200837,,,,
"C*.O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1 |c:6,8,14,16,22,24,t:4,12,20,lp:2:2,4:2,11:2,18:2,m:1:6.7.8|",O=C(Cc1cccc(O)c1)N1CCOc2ccccc21,kidney,Rat,Human,0.294444444,0.05628515,1,0.368200837,,,,
CC(C)(O)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,CC(C)(C)OC(=O)Nc1ccc(CC(=O)NC2CC2)cc1,prostate,Rat,Human,0.327272727,0.4278166,1,0.510869565,,,,
Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,CC[C@@H]1N[C@@H](C)C[NH+](Cc2ccccc2)[C@@H]1C,kidney,Rat,Human,0.14,0.015285145,1,0.368200837,,,,
"C*.O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1 |c:6,8,14,16,22,24,t:4,12,20,lp:2:2,4:2,11:2,18:2,m:1:6.7.8|",O=C(Cc1cccc(O)c1)N1CCOc2ccccc21,kidney,Rat,Human,0.294444444,0.05628515,1,0.368200837,,,,
NC1=CC2=C(C=CC=C2)C=C1,CCCc1nn(C)c(NC(=O)c2ccccn2)c1-c1ccccc1,kidney,Rat,Human,0.302380952,0.060929459,1,0.368200837,,,,
CCN(CC)C1=CC=C(C=O)C(O)=C1,CCN(CC)c1ncnc(-c2cc(Br)c3c(c2)OCCO3)n1,kidney,Rat,Human,0.331707317,0.032867987,1,0.368200837,,,,
COC1=CC2=C(C=C1OC)[C@H]1[C@@H](CO2)OC2=C(C=CC3=C2C[C@@H](O3)C(C)=C)C1=O,COc1ccc(OC)c(C2CCN(C(=O)c3ccc4c(c3)OCO4)CC2)c1,kidney,Rat,Human,0.390322581,0.06752117,1,0.368200837,,,,
C[C@H]1CCCC(=O)CCC\C=C\C2=C(C(O)=CC(O)=C2)C(=O)O1,CC(C)=Cc1c(-c2cccs2)nn(C)c1C1CCCC1,kidney,Rat,Human,0.252380952,0.097742938,1,0.368200837,,,,
CCCCC(CC)COC(=O)C1=CC=C(O)C=C1,CCCC(CCC)NC(=O)Nc1ccc(C#N)cc1,prostate,Rat,Human,0.403797468,0.476074189,1,0.510869565,,,,
Cl.CCN(CC1=CC=CN=C1)C(=O)C1=CC=CC(Cl)=C1[C@]1(C)C(=O)N(CC2=C(OC)C=C(OC)C=C2)C2=CC=C(Cl)C=C12,O=C1Cc2ccccc2N1Cc1cccc(OC(F)F)c1,kidney,Rat,Human,0.317687075,0.047941886,1,0.368200837,,,,
CSC1=NC(NC(C)C)=NC(NC(C)C)=N1,Cc1ccc([C@@H](C)C(=O)NC2CCC([S@@](C)=O)CC2)cc1C,brain,Rat,Human,0.207526882,0.232792109,1,0.944444444,,,,
"C*.O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1 |c:6,8,14,16,22,24,t:4,12,20,lp:2:2,4:2,11:2,18:2,m:1:6.7.8|",O=C(Cc1cccc(O)c1)N1CCOc2ccccc21,kidney,Rat,Human,0.294444444,0.056285162,1,0.368200837,,,,
ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1,Cc1ccc(NCc2noc(COc3ccccc3Cl)n2)c2ccccc12,brain,Rat,Human,0.34,0.363586128,1,0.944444444,,,,
Cl.CN1C(=O)C=C(OC2=C(F)C=C(F)C=C2)C2=C1N=C(NCC(C)(C)O)N=C2,COC(=O)c1cccc(OCc2cc(Cl)ccc2C)n1,kidney,Rat,Human,0.28018018,0.039016418,1,0.368200837,,,,
CS([O-])(=O)=O.CN(C[C@@H](CC[N+]12CCC(CC1)(CC2)C1CCCCC1)C1=CC(Cl)=C(Cl)C=C1)C(=O)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,Cc1[nH]nc2c1N(S(=O)(=O)c1cc(C(=O)Nc3ccc(F)cc3)ccc1Cl)CCN2C,kidney,Rat,Human,0.278378378,0.009907555,1,0.368200837,,,,
[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)CC[C@]12C,[NH3+]CCn1cnc2ccccc21,prostate,Rat,Human,0.110752688,0.400916517,1,0.510869565,,,,
CSC1=NC(NC(C)C)=NC(NC(C)C)=N1,Cc1ccc([C@@H](C)C(=O)NC2CCC([S@@](C)=O)CC2)cc1C,brain,Rat,Human,0.207526882,0.232792109,1,0.944444444,,,,
CCCCOC(=O)C1=CC=C(O)C=C1,O=C(Nc1ccc(Cl)cc1)[C@@H]1CC(c2ccccc2)=NO1,kidney,Rat,Human,0.249425287,0.073363349,1,0.368200837,,,,
COP(=S)(OC)SCN1C(=O)C2=C(C=CC=C2)C1=O,CC(C)COC(=O)[C@@]12CNC(=O)[C@H]1CN(S(=O)(=O)c1ccc3c(c1)CCO3)C2,kidney,Rat,Human,0.250442478,0.08499749,1,0.368200837,,,,
CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,O=C(Nc1ccc(Cl)cc1)[C@@H]1CC(c2ccccc2)=NO1,kidney,Rat,Human,0.3,0.073363349,1,0.368200837,,,,
ClC1=CC=C(C=C1)C(=O)C1=CC=CC=C1,O=C(COc1cccnc1)c1ccc(Cl)cc1,kidney,Rat,Human,0.56031746,0.013786609,1,0.368200837,,,,
OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1,Cc1ccccc1SCCC(=O)N1CC[C@H](c2ccccc2C)C1,prostate,Rat,Human,0.344444444,0.298563629,1,0.510869565,,,,
ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O,Cc1cc2c(s1)CCN(C(=O)CCO)[C@@H]2c1cnccn1,brain,Rat,Human,0.195744681,0.91017431,1,0.944444444,,,,
[Cl-].CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC,CCCCc1nnc(NC(=O)NCc2cn(CC)nc2C(C)=O)s1,kidney,Rat,Human,0.198484848,0.01772156,1,0.368200837,,,,
CCCCCCCCC(=O)NCC1=CC(OC)=C(O)C=C1,CCc1ncc(NC(=O)CCc2ccccc2C)s1,kidney,Rat,Human,0.315053763,0.041148588,1,0.368200837,,,,
CCCC[Sn](CCCC)(CCCC)OC(=O)C1=CC=CC=C1,CCOC(C)(C)C(=O)C[NH+]1CCCC1,prostate,Rat,Human,0.211111111,0.449478388,1,0.510869565,,,,
CS([O-])(=O)=O.CN(C[C@@H](CC[N+]12CCC(CC1)(CC2)C1CCCCC1)C1=CC(Cl)=C(Cl)C=C1)C(=O)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,Cc1[nH]nc2c1N(S(=O)(=O)c1cc(C(=O)Nc3ccc(F)cc3)ccc1Cl)CCN2C,kidney,Rat,Human,0.278378378,0.009907555,1,0.368200837,,,,
Cl.OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=CC=C(O)C=C2S1,N#Cc1ccc(C(=O)Nc2ccc(N3CCCCC3)cc2)cc1,kidney,Rat,Human,0.41496063,0.077286281,1,0.368200837,,,,
CCCCC(CC)COC(=O)C1=CC=C(O)C=C1,CCCC(CCC)NC(=O)Nc1ccc(C#N)cc1,prostate,Rat,Human,0.403797468,0.476074189,1,0.510869565,,,,
O=C(C(=O)C1=CC=CC=C1)C1=CC=CC=C1,CN(CC1=CC[C@@H](N)C=C1)n1ccc(=O)c2ccccc21,kidney,Rat,Human,0.318390805,0.04162278,1,0.368200837,,,,
CCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1,CCCCC(=O)N1c2ccc(C)cc2C[C@@H]1C,kidney,Rat,Human,0.3,0.014139632,1,0.368200837,,,,
OC1=C(OC2=CC=C(Cl)C=C2Cl)C=CC(Cl)=C1,CC[NH+]1CCC(NCc2c(O)cc(Cl)cc2Cl)CC1,prostate,Rat,Human,0.334567901,0.494553655,1,0.510869565,,,,
CC(C)=CC1C(C(=O)OC2CC(=O)C(CC#C)=C2C)C1(C)C,COC(=O)[C@@H](NC1CC2(CCC2)C1)C(C)C,kidney,Rat,Human,0.211111111,0.016647859,1,0.368200837,,,,
CC(C)N(C(=O)CCl)C1=CC=CC=C1,Cc1ccc(N(C)CC(=O)[O-])cn1,kidney,Rat,Human,0.337288136,0.164862975,1,0.368200837,,,,
CCC(C)N(C)C(=O)C1=CC2=C(C=CC=C2)C(=N1)C1=CC=CC=C1Cl,CN(CC(=O)Nc1cncc2ccccc12)C(=O)c1cnc2ccccc2c1,kidney,Rat,Human,0.472727273,0.054431804,1,0.368200837,,,,
O=C(CC1=CC=CC=C1)C1=CC=CC=C1,CN(CC1=CC[C@@H](N)C=C1)n1ccc(=O)c2ccccc21,kidney,Rat,Human,0.338095238,0.04162278,1,0.368200837,,,,
Cl.COC1=CC=CC(=C1)C1=C(Cl)C=C(\C=C/CN2CCCCCC2)C=C1,COc1cccc([C@@H]2CCCN2C(=O)c2cccc(C)c2)c1,kidney,Rat,Human,0.417307692,0.060041912,1,0.368200837,,,,
CC(C)(C1=CC=CC=C1)C1=CC=C(O)C=C1,O=C(Nc1ccc(Cl)cc1)[C@@H]1CC(c2ccccc2)=NO1,kidney,Rat,Human,0.392682927,0.073363364,1,0.368200837,,,,
Cl.Cl.CC1=C(N)C=CC(=C1)C1=CC(C)=C(N)C=C1,CC1=C(CN(C)C(=O)CN2CCOCC2)[C@@](C)(Br)N=N1,kidney,Rat,Human,0.152083333,0.075112246,1,0.368200837,,,,
CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,CCCCc1nnc(NC(=O)NCc2cn(CC)nc2C(C)=O)s1,kidney,Rat,Human,0.21023622,0.01772156,1,0.368200837,,,,
CCCC[Sn](CCCC)(CCCC)OC(=O)C1=CC=CC=C1,CCOC(C)(C)C(=O)C[NH+]1CCCC1,prostate,Rat,Human,0.211111111,0.449478388,1,0.510869565,,,,
[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)CC[C@]12C,[NH3+]CCn1cnc2ccccc21,prostate,Rat,Human,0.110752688,0.400916487,1,0.510869565,,,,
CCN(CC)C1=CC=C2C(C)=CC(=O)OC2=C1,CCN(CC)c1ncnc(-c2cc(Br)c3c(c2)OCCO3)n1,prostate,Rat,Human,0.364367816,0.444122165,1,0.510869565,,,,
OC1=CC=C(C=C1)C(C1=CC=C(O)C=C1)C(Cl)(Cl)Cl,O=C(Nc1ccc(Cl)cc1)[C@@H]1CC(c2ccccc2)=NO1,kidney,Rat,Human,0.30212766,0.073363349,1,0.368200837,,,,
CCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1,CCCCC(=O)N1c2ccc(C)cc2C[C@@H]1C,prostate,Rat,Human,0.3,0.464339912,1,0.510869565,,,,
C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@H](O)CC1CC(=O)NC(=O)C1,C[C@@H]1CCCC[C@H]1N1CCN(Cc2ccco2)C[C@]12CCCNC2=O,kidney,Rat,Human,0.223893805,0.017892474,1,0.368200837,,,,
C[C@H]1C[C@H]2[C@@H]3CC[C@](OC(C)=O)(C(C)=O)[C@@]3(C)CC[C@@H]2[C@@]2(C)CCC(=O)C=C12,CC(C)(C)[C@H]1CCC(=O)[C@@H]2SC(C(=O)[O-])=N[C@@H]21,prostate,Rat,Human,0.263461538,0.365868866,1,0.510869565,,,,
ClC1=CC=C(C=C1)C(=O)C1=CC=CC=C1,O=C(COc1cccnc1)c1ccc(Cl)cc1,kidney,Rat,Human,0.56031746,0.013786609,1,0.368200837,,,,
CC1=CC=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1N,Cc1ccc([C@H]2CC(=O)N(CCN3CC(=O)Oc4ccccc43)C2)cc1,kidney,Rat,Human,0.362626263,0.057043631,1,0.368200837,,,,
O=C1C=CC(=O)C2=C1C=CC=C2,CC(C)COC(=O)[C@@]12CNC(=O)[C@H]1CN(S(=O)(=O)c1ccc3c(c1)CCO3)C2,prostate,Rat,Human,0.22,0.362751544,1,0.510869565,,,,
CC1(C)C(C(=O)OC(C#N)C2=CC=CC(OC3=CC=CC=C3)=C2)C1(C)C,O=C(Cc1cccc(O)c1)N1CCOc2ccccc21,kidney,Rat,Human,0.340384615,0.05628515,1,0.368200837,,,,
ClC1=C(Cl)C(C#N)=C(Cl)C(C#N)=C1Cl,N#CCc1ccc(F)cc1,prostate,Rat,Human,0.184745763,0.512451112,1,0.510869565,,,,
CCN(CC)C(=O)C1=CC=CC(C)=C1,CCN(CC)S(=O)(=O)c1ccc(NC(=O)c2ccc(C)cc2)cc1,kidney,Rat,Human,0.4,0.027544316,1,0.368200837,,,,
C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@H](O)CC1CC(=O)NC(=O)C1,C[C@@H]1CCCC[C@H]1N1CCN(Cc2ccco2)C[C@]12CCCNC2=O,kidney,Rat,Human,0.223893805,0.017892474,1,0.368200837,,,,
OC(=O)C1=C(O)C2=CC=CC=C2C(O)=C1,O=C(COc1cccnc1)c1ccc(Cl)cc1,kidney,Rat,Human,0.284210526,0.013786609,1,0.368200837,,,,
CCCCCCOC1=CC=C(O)C=C1,O=C(NC1CCCCC1)N1CCOC[C@@H]1CCS(=O)(=O)c1ccc(F)cc1,kidney,Rat,Human,0.214285714,0.021379519,1,0.368200837,,,,
CC1=C(C2=C(C=CC=C2)N1CCCCC(O)=O)C1=CN=CC=C1,O=C(CCNC(=O)c1ccc(F)cc1Cl)NCC1([O-])CCCCC1,kidney,Rat,Human,0.227118644,0.029788166,1,0.368200837,,,,
CCNC1=NC(SC)=NC(NC(C)(C)C)=N1,CCc1cc(CNC(=O)C2=C(C)n3nc(C)c(C)c3C2)on1,kidney,Rat,Human,0.230434783,0.010150581,1,0.368200837,,,,
OC1=C(OC2=CC=C(Cl)C=C2Cl)C=CC(Cl)=C1,CC[NH+]1CCC(NCc2c(O)cc(Cl)cc2Cl)CC1,kidney,Rat,Human,0.334567901,0.286377698,1,0.368200837,,,,
N#CSCSC1=NC2=CC=CC=C2S1,C[C@@H](C#N)Sc1nc(C(=O)Nc2ccccc2)cs1,kidney,Rat,Human,0.383783784,0.232950985,1,0.368200837,,,,
C[C@H]1CCCC(=O)CCC\C=C\C2=C(C(O)=CC(O)=C2)C(=O)O1,CC(C)=Cc1c(-c2cccs2)nn(C)c1C1CCCC1,kidney,Rat,Human,0.252380952,0.097742938,1,0.368200837,,,,
[Na+].COC1=CC2=C(SC(C(=O)NC3=NN=N[N-]3)=C2OC(C)C)C=C1,COC(=O)c1csc(NC(=O)C(C)(C)Oc2cccc(C)c2)c1,kidney,Rat,Human,0.316981132,0.139047146,1,0.368200837,,,,
CN(C)C(=O)NC1=CC=CC(=C1)C(F)(F)F,O=C(NNc1cccnc1)[C@H]1CC([O-])=N[C@@H](Oc2cccc(F)c2)N1,kidney,Rat,Human,0.2875,0.022360368,1,0.368200837,,,,
NC1=C(Cl)C=C(C=C1)[N+]([O-])=O,CCNS(=O)(=O)c1ccc(Cl)c(N)c1,kidney,Rat,Human,0.42,0.009376099,1,0.368200837,,,,
NC1=CC2=C(C=CC=C2)C=C1,CCCc1nn(C)c(NC(=O)c2ccccn2)c1-c1ccccc1,kidney,Rat,Human,0.302380952,0.060929459,1,0.368200837,,,,
CCCCOC(=O)C1=CC=C(O)C=C1,O=C(Nc1ccc(Cl)cc1)[C@@H]1CC(c2ccccc2)=NO1,kidney,Rat,Human,0.249425287,0.073363349,1,0.368200837,,,,
O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1,O=C(Cc1cccc(O)c1)N1CCOc2ccccc21,kidney,Rat,Human,0.3,0.05628515,1,0.368200837,,,,
CCC1=C(OCC(O)=O)C=CC(SCC2=C(CN3CCN(CC3)C3=CC=C(OC)C=C3)N=C(S2)C2=CC=C(C=C2)C(F)(F)F)=C1,COc1ccc(N2CCN(C(=O)[C@@H](C)NC(=O)c3n[nH]c(C)n3)[C@@H](c3ccc(C)cc3)C2)cc1,kidney,Rat,Human,0.387356322,0.038018379,1,0.368200837,,,,
O=C1C=CC(=O)C2=C1C=CC=C2,CC(C)COC(=O)[C@@]12CNC(=O)[C@H]1CN(S(=O)(=O)c1ccc3c(c1)CCO3)C2,prostate,Rat,Human,0.22,0.362751544,1,0.510869565,,,,
COC1=CC(=CC=C1N)C1=CC(OC)=C(N)C=C1,COc1ccc([C@@H](O)CN[C@@H](C)c2ccc(F)cc2Cl)cc1OC,kidney,Rat,Human,0.448837209,0.012749485,1,0.368200837,,,,
C[C@H]1CCCC(=O)CCC\C=C\C2=C(C(O)=CC(O)=C2)C(=O)O1,CC(C)=Cc1c(-c2cccs2)nn(C)c1C1CCCC1,kidney,Rat,Human,0.252380952,0.097742938,1,0.368200837,,,,
CC1=CC(=CC=C1O)C(C)(C)C1=CC(C)=C(O)C=C1,CC1=C(CN(C)C(=O)CN2CCOCC2)[C@@](C)(Br)N=N1,prostate,Rat,Human,0.16,0.395839483,1,0.510869565,,,,
CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,Cc1ccc(C(=O)N2CCO[C@@H](CC(=O)N[C@H]3CO[C@H](C)C3)C2)cc1,prostate,Rat,Human,0.265137615,0.416849643,1,0.510869565,,,,
OC1=CC=C(C=C1)C(=O)OCC1=CC=CC=C1,O=C(COc1cccnc1)c1ccc(Cl)cc1,kidney,Rat,Human,0.442465753,0.013786616,1,0.368200837,,,,
CCCOC(=O)C1=CC(O)=C(O)C(O)=C1,CC[C@H](O)Cc1ccc2c(c1)C(=O)C(C)(C)C[NH2+]2,brain,Rat,Human,0.271052632,0.195698634,1,0.944444444,,,,
CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,C/C=C(\CC)N1CCN(C(=O)/C=C/C2CC2)CC1,kidney,Rat,Human,0.204166667,0.044862226,1,0.368200837,,,,
CC(C)NC(=O)N1CC(=O)N(C1=O)C1=CC(Cl)=CC(Cl)=C1,CC(C)C(=O)NC[C@H]1CCC[NH+](Cc2cc(Cl)cc(Cl)c2O)C1,brain,Rat,Human,0.352631579,0.691433489,1,0.944444444,,,,
CCOC(=O)CCC(=O)OCC,CCNC(=O)[C@]12CCCN(C(=O)OCC)[C@@H]1NN=C2c1ccccc1,prostate,Rat,Human,0.283908046,0.324941844,1,0.510869565,,,,
C[C@H]1CCCC(=O)CCC\C=C\C2=C(C(O)=CC(O)=C2)C(=O)O1,CC(C)=Cc1c(-c2cccs2)nn(C)c1C1CCCC1,kidney,Rat,Human,0.252380952,0.097742938,1,0.368200837,,,,
CCN(CC)C(=O)C(C)OC1=C2C=CC=CC2=CC=C1,[NH3+][C@]1(CC(=O)[O-])CCc2ccccc21,kidney,Rat,Human,0.302531646,0.118028335,1,0.368200837,,,,
CCCCCCCCCC1=CC=C(O)C=C1,COc1ccc(C[NH2+]C[C@@H]2CCCC[C@@H]2C(F)(F)F)cc1,prostate,Rat,Human,0.279775281,0.436685234,1,0.510869565,,,,
NC1=CC2=C(C=CC=C2)C=C1,CCCc1nn(C)c(NC(=O)c2ccccn2)c1-c1ccccc1,kidney,Rat,Human,0.302380952,0.060929459,1,0.368200837,,,,
[Na+].NC1=C(\N=N\C2=CC=CC=C2C(F)(F)F)C2=C(C=C1)C=C(C=C2O)S([O-])(=O)=O,CC(=O)NS(=O)(=O)c1ccc(-c2ccc(F)cc2)cc1,kidney,Rat,Human,0.311009174,0.035045765,1,0.368200837,,,,
COC1=CC2=C(C=CC(=O)O2)C(OC)=C1,COc1ccc(OC)c(COc2ccc(Cl)c(C(N)=O)c2)c1,kidney,Rat,Human,0.437662338,0.019495614,1,0.368200837,,,,
OC(C1=CC=C(Cl)C=C1)(C1=CN=CN=C1)C1=CC=CC=C1Cl,O=C(Nc1ccnn1Cc1ccc(Cl)cc1)[C@@H]1COc2ccccc2O1,kidney,Rat,Human,0.399065421,0.032196123,1,0.368200837,,,,
C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,CC(C)(C)[C@H]1CCC(=O)[C@@H]2SC(C(=O)[O-])=N[C@@H]21,prostate,Rat,Human,0.252173913,0.365868866,1,0.510869565,,,,
OC1=CC2=C(C=CC=C2)C2=CC=CC=C12,[NH3+][C@]1(CC(=O)[O-])CCc2ccccc21,prostate,Rat,Human,0.269014085,0.410235137,1,0.510869565,,,,
CCC1=C(OCC(O)=O)C=CC(SCC2=C(CN3CCN(CC3)C3=CC=C(OC)C=C3)N=C(S2)C2=CC=C(C=C2)C(F)(F)F)=C1,COc1ccc(N2CCN(C(=O)[C@@H](C)NC(=O)c3n[nH]c(C)n3)[C@@H](c3ccc(C)cc3)C2)cc1,prostate,Rat,Human,0.387356322,0.422352999,1,0.510869565,,,,
OC1=CC2=C(C=CC=C2)C2=CC=CC=C12,[NH3+][C@]1(CC(=O)[O-])CCc2ccccc21,prostate,Rat,Human,0.269014085,0.410235196,1,0.510869565,,,,
CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,COc1ccc(OCC(=O)Nc2ccc3c(c2)CCC3)cc1OC,kidney,Rat,Human,0.306896552,0.011703683,1,0.368200837,,,,
ClC1=C(Cl)C(C#N)=C(Cl)C(C#N)=C1Cl,N#CCc1ccc(F)cc1,prostate,Rat,Human,0.184745763,0.512451112,1,0.510869565,,,,
CC1=C(CCOC2=CC=C(C[C@H](NC3=C(C=CC=C3)C(=O)C3=CC=CC=C3)C(O)=O)C=C2)N=C(O1)C1=CC=CC=C1,Cc1ocnc1CCNC(=O)c1ccc(S(C)(=O)=O)cc1,brain,Rat,Human,0.287919463,0.65079844,1,0.944444444,,,,
