Source_Mol,Optimized_Mol,Tissue,Source_Organism,Optimized_Organism,Tanimoto_Similarity,Tissue_Activity,Diversity,,,,Tanimoto_Similarity,Tissue_Activity
[Na+].CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S([O-])(=O)=O,CCCCC(CC)COC(=O)C1=C(C=CC=C1)C(=O)OCC(CC)CCCC,kidney,Rat,Human,0.54,0.229522362,0.732217573,,,,,
OC1=CC=C(C=C1)C(=O)OC1=CC=CC=C1,OC1=CC=C(C=C1)C(=O)C1=CC=C(O)C(O)=C1O,kidney,Rat,Human,0.397058824,0.951031864,0.732217573,,,,,
COP(=S)(OC)OC1=CC=C(C(C)=C1)[N+]([O-])=O,COP(=O)(OC)SCN1C(=O)OC2=CC(Cl)=CN=C2C1=O,prostate,Rat,Human,0.186046512,0.480579644,0.913043478,,,,,
CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,OC1=CC=C(C=C1)C1=C(O)C=C(O)C=C1,prostate,Rat,Human,0.38028169,0.608003318,0.913043478,,,,,
O=C(C(=O)C1=CC=CC=C1)C1=CC=CC=C1,O[Sn](C1=CC=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,0.474576271,0.950160384,0.732217573,,,,,
"C*.O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1 |c:6,8,14,16,22,24,t:4,12,20,lp:2:2,4:2,11:2,18:2,m:1:6.7.8|",CC(=O)O[Sn](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,0.483870968,0.999604404,0.732217573,,,,,
CC(C)(O)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,OC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,prostate,Rat,Human,0.553571429,0.563291669,0.913043478,,,,,
Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,ClC12C(=O)C3(Cl)C4(Cl)C1(Cl)C1(Cl)C2(Cl)C3(Cl)C4(Cl)C1(Cl)Cl,kidney,Rat,Human,0.078947368,0.655655742,0.732217573,,,,,
"C*.O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1 |c:6,8,14,16,22,24,t:4,12,20,lp:2:2,4:2,11:2,18:2,m:1:6.7.8|",CC(=O)O[Sn](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,0.483870968,0.999604404,0.732217573,,,,,
NC1=CC2=C(C=CC=C2)C=C1,N=C1NC(=N)C2=C1C=C1C=CC=CC1=C2,kidney,Rat,Human,0.388888889,0.906204164,0.732217573,,,,,
CCN(CC)C1=CC=C(C=O)C(O)=C1,CCC(C)(C)C1=CC(O)=C(C=C1O)C(C)(C)CC,kidney,Rat,Human,0.217391304,0.22415027,0.732217573,,,,,
COC1=CC2=C(C=C1OC)[C@H]1[C@@H](CO2)OC2=C(C=CC3=C2C[C@@H](O3)C(C)=C)C1=O,COC1=C2C(=O)C3=C(C(O)=C4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)C4=C3O)C(C)=O)C(=O)C2=CC=C1,kidney,Rat,Human,0.233333333,0.970030785,0.732217573,,,,,
C[C@H]1CCCC(=O)CCC\C=C\C2=C(C(O)=CC(O)=C2)C(=O)O1,O=C1O[C@@]23C[C@@H](C=CC2=C1)N1CCC[C@H]3C[C@]1,kidney,Rat,Human,0.175257732,0.785544574,0.732217573,,,,,
CCCCC(CC)COC(=O)C1=CC=C(O)C=C1,COC(=O)C1=CC=C(O)C=C1,prostate,Rat,Human,0.481481481,0.453197896,0.913043478,,,,,
Cl.CCN(CC1=CC=CN=C1)C(=O)C1=CC=CC(Cl)=C1[C@]1(C)C(=O)N(CC2=C(OC)C=C(OC)C=C2)C2=CC=C(Cl)C=C12,CC(C)C1=CC(O)=CC(C1)C1=C(Cl)C=C(O)C=C1[C@]1(C)C(=O)N(CC2=C(OC)C=C(OC)C=C2)C2=CC=C(Cl)C=C12,kidney,Rat,Human,0.477707006,0.167125419,0.732217573,,,,,
CSC1=NC(NC(C)C)=NC(NC(C)C)=N1,CCNC1=NC(SC)=NC(NC(C)(C)C)=N1,brain,Rat,Human,0.457627119,0.765415788,0.944444444,,,,,
"C*.O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1 |c:6,8,14,16,22,24,t:4,12,20,lp:2:2,4:2,11:2,18:2,m:1:6.7.8|",CC(=O)O[Sn](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,0.483870968,0.999604404,0.732217573,,,,,
ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1,COC1=CC=CC(=C1)N1C=NC2=C1C=C(Cl)C(Cl)=C2,brain,Rat,Human,0.222222222,0.651990235,0.944444444,,,,,
Cl.CN1C(=O)C=C(OC2=C(F)C=C(F)C=C2)C2=C1N=C(NCC(C)(C)O)N=C2,CS(O)(=O)=O.CC(C)C1=CC(\C=C2/SC(=N)NC2=O)=CC(=C1O)C(C)(C)C,kidney,Rat,Human,0.162601626,0.957932889,0.732217573,,,,,
CS([O-])(=O)=O.CN(C[C@@H](CC[N+]12CCC(CC1)(CC2)C1CCCCC1)C1=CC(Cl)=C(Cl)C=C1)C(=O)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,CS([O-])(=O)=O.CN(C[C@@H](CC[N+]12CCC(CC1)(CC2)C1CCCC1)C1=CC(Cl)=C(Cl)C=C1)C(=O)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,kidney,Rat,Human,0.977272727,0.514978945,0.732217573,,,,,
[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)CC[C@]12C,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(C)CC[C@@]3([H])CC[C@@]21[H],prostate,Rat,Human,0.506666667,0.723563313,0.913043478,,,,,
CSC1=NC(NC(C)C)=NC(NC(C)C)=N1,CCNC1=NC(SC)=NC(NC(C)(C)C)=N1,brain,Rat,Human,0.457627119,0.765415788,0.944444444,,,,,
CCCCOC(=O)C1=CC=C(O)C=C1,OC(=O)C1=CC=C([Hg]Cl)C=C1,kidney,Rat,Human,0.326923077,0.994470596,0.732217573,,,,,
COP(=S)(OC)SCN1C(=O)C2=C(C=CC=C2)C1=O,CN1C(=O)C(=NNC(N)=S)C2=C1C=CC=C2,kidney,Rat,Human,0.297297297,0.498652041,0.732217573,,,,,
CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,OC1=CC=C(SC2=CC=C(O)C=C2)C=C1,kidney,Rat,Human,0.551724138,0.688777983,0.732217573,,,,,
ClC1=CC=C(C=C1)C(=O)C1=CC=CC=C1,OC1=CC=C(C(=O)C2=CC=CC=C2)C(O)=C1O,kidney,Rat,Human,0.451612903,0.815122247,0.732217573,,,,,
OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1,OC1=C(CC2=C(O)C=CC=C2)C=CC=C1,prostate,Rat,Human,0.482758621,0.980870664,0.913043478,,,,,
ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O,ClC1=NC(Cl)=SN1C1C(=O)C2=C(C=CC=C2Cl)C1(Cl)Cl,brain,Rat,Human,0.127906977,0.578479111,0.944444444,,,,,
[Cl-].CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC,[Cl-].CCCCCCCCCCCCCC[P+](CCCCC)(CCCCC)CCCCCCC,kidney,Rat,Human,0.78125,0.139503568,0.732217573,,,,,
CCCCCCCCC(=O)NCC1=CC(OC)=C(O)C=C1,CCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(O)=CC=C4[C@H]3CC[C@]12C,kidney,Rat,Human,0.299065421,0.567601264,0.732217573,,,,,
CCCC[Sn](CCCC)(CCCC)OC(=O)C1=CC=CC=C1,CC(C)=CCCC(C)(OC(C)=O)C1=CC=CC=C1,prostate,Rat,Human,0.261363636,0.534232378,0.913043478,,,,,
CS([O-])(=O)=O.CN(C[C@@H](CC[N+]12CCC(CC1)(CC2)C1CCCCC1)C1=CC(Cl)=C(Cl)C=C1)C(=O)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,C[C@@]12CCC[C@H]1[C@@H]1CC[C@H]3C[C@@H](O)CC[C@]3(C)[C@H]1CC2,kidney,Rat,Human,0.125,0.572244346,0.732217573,,,,,
Cl.OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=CC=C(O)C=C2S1,OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCCC3)C=C2)C2=CC=C(O)C=C2S1,kidney,Rat,Human,0.961165049,0.899553776,0.732217573,,,,,
CCCCC(CC)COC(=O)C1=CC=C(O)C=C1,OS(O)(=O)=O.CC(C)(C)OC1=CC=CC=C1,prostate,Rat,Human,0.153846154,0.508953094,0.913043478,,,,,
O=C(C(=O)C1=CC=CC=C1)C1=CC=CC=C1,C(=C(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,0.492957746,0.642936647,0.732217573,,,,,
CCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1,CCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1,kidney,Rat,Human,0.945454545,0.796599269,0.732217573,,,,,
OC1=C(OC2=CC=C(Cl)C=C2Cl)C=CC(Cl)=C1,ClC(Cl)(Cl)SN1C(=O)C2=C(C=CC(Cl)=C2)C1=O,prostate,Rat,Human,0.243243243,0.66425544,0.913043478,,,,,
CC(C)=CC1C(C(=O)OC2CC(=O)C(CC#C)=C2C)C1(C)C,CC[C@]12CC[C@H]3[C@@H](CCC4=C\C(CC[C@H]34)=N\O)[C@@H]1CC[C@@]2(OC(C)=O)C#C,kidney,Rat,Human,0.155172414,0.82101351,0.732217573,,,,,
CC(C)N(C(=O)CCl)C1=CC=CC=C1,Cl[Hg]C1=CC=CC=C1,kidney,Rat,Human,0.326086957,0.996946514,0.732217573,,,,,
CCC(C)N(C)C(=O)C1=CC2=C(C=CC=C2)C(=N1)C1=CC=CC=C1Cl,Cl.Cl.COCC(=O)O[C@]1(CCN(C)CCC2=NC3=C(N2)C=CC=C3)CCC2=C(C=CC(F)=C2)[C@@H]1C(C)C,kidney,Rat,Human,0.257352941,0.297686785,0.732217573,,,,,
O=C(CC1=CC=CC=C1)C1=CC=CC=C1,CCOC(=O)C1=NOC(C1)(C1=CC=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,0.421052632,0.352083266,0.732217573,,,,,
Cl.COC1=CC=CC(=C1)C1=C(Cl)C=C(\C=C/CN2CCCCCC2)C=C1,Cl.CSC1=CC2=C(SC3=C(C=CC=C3)N2CCC2CCCCN2C)C=C1,kidney,Rat,Human,0.254237288,0.326970547,0.732217573,,,,,
CC(C)(C1=CC=CC=C1)C1=CC=C(O)C=C1,CC(C)(C1=CC=CC=C1)C1=CC(=C(O)C=C1)C(C)(C)C1=CC=CC=C1,kidney,Rat,Human,0.533333333,0.417362452,0.732217573,,,,,
Cl.Cl.CC1=C(N)C=CC(=C1)C1=CC(C)=C(N)C=C1,CC1=CC(O)=C(C=C1SC1=C(C)C=C(O)C(=C1)C(C)(C)C)C(C)(C)C,kidney,Rat,Human,0.193548387,0.649837792,0.732217573,,,,,
CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,OC(=O)CN(CCOCCOCCN(CC(O)=O)CC(O)=O)CC(O)=O,kidney,Rat,Human,0.190082645,0.134998426,0.732217573,,,,,
CCCC[Sn](CCCC)(CCCC)OC(=O)C1=CC=CC=C1,[Na+].CC(=C)C1=CC=CC=C1,prostate,Rat,Human,0.275362319,0.471419066,0.913043478,,,,,
[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)CC[C@]12C,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,prostate,Rat,Human,0.573333333,0.434296101,0.913043478,,,,,
CCN(CC)C1=CC=C2C(C)=CC(=O)OC2=C1,CCN(CC)C1=NC2=C(C=C1)C(C)=CC(=O)O2,prostate,Rat,Human,0.620689655,0.698393285,0.913043478,,,,,
OC1=CC=C(C=C1)C(C1=CC=C(O)C=C1)C(Cl)(Cl)Cl,ClC1=CC=C(C=C1)C(C1=CC=CC=C1Cl)C(Cl)(Cl)Cl,kidney,Rat,Human,0.464788732,0.709934592,0.732217573,,,,,
CCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1,OC(=O)C1=CC(O)=C(O)C(O)=C1,prostate,Rat,Human,0.433333333,0.999957204,0.913043478,,,,,
C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@H](O)CC1CC(=O)NC(=O)C1,C\C=C1/NC(=O)[C@H]2CSSCC\C=C\[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)C(NC1=O)C(C)C,kidney,Rat,Human,0.1875,0.93400377,0.732217573,,,,,
C[C@H]1C[C@H]2[C@@H]3CC[C@](OC(C)=O)(C(C)=O)[C@@]3(C)CC[C@@H]2[C@@]2(C)CCC(=O)C=C12,C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O,prostate,Rat,Human,0.184210526,0.642085671,0.913043478,,,,,
ClC1=CC=C(C=C1)C(=O)C1=CC=CC=C1,OC1=CC=C(C(=O)C2=CC=CC=C2)C(O)=C1O,kidney,Rat,Human,0.451612903,0.815122247,0.732217573,,,,,
CC1=CC=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1N,Cl.C[C@@H]1O[C@H](C[C@H](N)[C@@H]1O)O[C@H]1C[C@@](O)(CC2=C(O)C3=C(C(O)=C12)C(=O)C1=C(C=CC=C1)C3=O)C(C)=O,kidney,Rat,Human,0.295652174,0.985930383,0.732217573,,,,,
O=C1C=CC(=O)C2=C1C=CC=C2,[Na+].[S-]C1=NC2=CC=CC=C2S1,prostate,Rat,Human,0.254901961,0.981933892,0.913043478,,,,,
CC1(C)C(C(=O)OC(C#N)C2=CC=CC(OC3=CC=CC=C3)=C2)C1(C)C,NC1=C(Cl)C(=O)C(Cl)=C1,kidney,Rat,Human,0.056179775,0.503729045,0.732217573,,,,,
ClC1=C(Cl)C(C#N)=C(Cl)C(C#N)=C1Cl,[O-][N+](=O)C1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,prostate,Rat,Human,0.365384615,0.966950595,0.913043478,,,,,
CCN(CC)C(=O)C1=CC=CC(C)=C1,CC(C)(C)COC(=O)C1=CC(N)=CC=C1,kidney,Rat,Human,0.344827586,0.076309413,0.732217573,,,,,
C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@H](O)CC1CC(=O)NC(=O)C1,C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@@H]5S[C@@H]5C[C@]34C)[C@@H]1CCC2=O,kidney,Rat,Human,0.14,0.648060918,0.732217573,,,,,
OC(=O)C1=C(O)C2=CC=CC=C2C(O)=C1,OC1=CC=CC(O)=C1O,kidney,Rat,Human,0.326530612,0.986694336,0.732217573,,,,,
CCCCCCOC1=CC=C(O)C=C1,CCC(C)(C)C1=CC(O)=C(O)C=C1,kidney,Rat,Human,0.193548387,0.451831073,0.732217573,,,,,
CC1=C(C2=C(C=CC=C2)N1CCCCC(O)=O)C1=CN=CC=C1,OC(=O)CN1C2=CC=CC=C2C(=O)C2=CC=C12,kidney,Rat,Human,0.373493976,0.65674454,0.732217573,,,,,
CCNC1=NC(SC)=NC(NC(C)(C)C)=N1,CCC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,kidney,Rat,Human,0.194444444,0.398058027,0.732217573,,,,,
OC1=C(OC2=CC=C(Cl)C=C2Cl)C=CC(Cl)=C1,CC(C)(C1=CC(Cl)=C(O)C(Cl)=C1)C1=CC(Cl)=C(O)C(Cl)=C1,kidney,Rat,Human,0.259259259,0.684121013,0.732217573,,,,,
N#CSCSC1=NC2=CC=CC=C2S1,O=CC1=CSC2=C1C=CC=C2,kidney,Rat,Human,0.280701754,0.90007472,0.732217573,,,,,
C[C@H]1CCCC(=O)CCC\C=C\C2=C(C(O)=CC(O)=C2)C(=O)O1,C[C@]12CC[C@H]3C(=CCC4=C3C=CC(O)=C4)[C@@H]1CCC2=O,kidney,Rat,Human,0.24742268,0.716189742,0.732217573,,,,,
[Na+].COC1=CC2=C(SC(C(=O)NC3=NN=N[N-]3)=C2OC(C)C)C=C1,[Na+].COC1=CC=C2N=C(N=C3C1=NN=N3)C1=CC2=C(C=C1)S([O-])(=O)=O,kidney,Rat,Human,0.194690265,0.790066063,0.732217573,,,,,
CN(C)C(=O)NC1=CC=CC(=C1)C(F)(F)F,OC1=CC=C(C=C1)C(=O)NC1=CC(=CC=C1)C(F)(F)F,kidney,Rat,Human,0.492307692,0.181819871,0.732217573,,,,,
NC1=C(Cl)C=C(C=C1)[N+]([O-])=O,[O-][N+](=O)C1=C(C=CC=C1Cl)C1=CNC=C1Cl,kidney,Rat,Human,0.303571429,0.599168181,0.732217573,,,,,
NC1=CC2=C(C=CC=C2)C=C1,N=C1NC(=N)C2=C1C=C1C=CC=CC1=C2,kidney,Rat,Human,0.388888889,0.906204164,0.732217573,,,,,
CCCCOC(=O)C1=CC=C(O)C=C1,CC(C)COC(=O)C1=CC=C(O)C=C1,kidney,Rat,Human,0.604166667,0.81609112,0.732217573,,,,,
O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1,F[Sn](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,0.494117647,0.998416066,0.732217573,,,,,
CCC1=C(OCC(O)=O)C=CC(SCC2=C(CN3CCN(CC3)C3=CC=C(OC)C=C3)N=C(S2)C2=CC=C(C=C2)C(F)(F)F)=C1,OC1(CCN(CCC(C2=CC=C(F)C=C2)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C(=C1)C(F)(F)F,kidney,Rat,Human,0.269662921,0.54131043,0.732217573,,,,,
O=C1C=CC(=O)C2=C1C=CC=C2,N1C2=C(C=CC=C2)N=C1C1=CSC=N1,prostate,Rat,Human,0.266666667,0.937225819,0.913043478,,,,,
COC1=CC(=CC=C1N)C1=CC(OC)=C(N)C=C1,COC1=CC=C(C(=O)C2=CC=C(OC)C=C2O)C(O)=C1,kidney,Rat,Human,0.329113924,0.118992507,0.732217573,,,,,
C[C@H]1CCCC(=O)CCC\C=C\C2=C(C(O)=CC(O)=C2)C(=O)O1,C[C@]12CC[C@H]3C(=CCC4=C3C=CC(O)=C4)[C@@H]1CCC2=O,kidney,Rat,Human,0.24742268,0.716189682,0.732217573,,,,,
CC1=CC(=CC=C1O)C(C)(C)C1=CC(C)=C(O)C=C1,CC1=C(C)C=C(O)C=C1,prostate,Rat,Human,0.293103448,0.517846406,0.913043478,,,,,
CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,OC1=CC=C(\C=C\C(=O)CC(=O)\C=C\C2=CC=C(O)C=C2)C=C1,prostate,Rat,Human,0.406976744,0.599465311,0.913043478,,,,,
OC1=CC=C(C=C1)C(=O)OCC1=CC=CC=C1,C[C@]12CC[C@H]3C(=CC4=C3C=CC(O)=C4)[C@@H]1CC[C@@H]2OC(=O)CCC1=CC=CC=C1,kidney,Rat,Human,0.343434343,0.552927971,0.732217573,,,,,
CCCOC(=O)C1=CC(O)=C(O)C(O)=C1,CCC(C)OC(=O)C1=CC(O)=C(O)C(O)=C1,brain,Rat,Human,0.64,0.597420335,0.944444444,,,,,
CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,OCC(COCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,kidney,Rat,Human,0.485714286,0.009724917,0.732217573,,,,,
CC(C)NC(=O)N1CC(=O)N(C1=O)C1=CC(Cl)=CC(Cl)=C1,ClCC(=O)NC1=C(Cl)C(=C(Cl)C=C1)C(=O)NC(=O)C1=CC(Cl)=CC(Cl)=C1,brain,Rat,Human,0.26,0.686690807,0.944444444,,,,,
CCOC(=O)CCC(=O)OCC,CCCCCNC(=O)OCC#CI,prostate,Rat,Human,0.192982456,0.672198594,0.913043478,,,,,
C[C@H]1CCCC(=O)CCC\C=C\C2=C(C(O)=CC(O)=C2)C(=O)O1,C[C@]12CC[C@H]3[C@@H](CCC4=C\C(CC[C@H]34)=N\O)[C@@H]1CC[C@@]2(O)C#C,kidney,Rat,Human,0.14159292,0.833483815,0.732217573,,,,,
CCN(CC)C(=O)C(C)OC1=C2C=CC=CC2=CC=C1,CCN(CC)C(=O)C(C)(C1=CC=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,0.419753086,0.130316064,0.732217573,,,,,
CCCCCCCCCC1=CC=C(O)C=C1,CCCCCCCC1=C(O)C=C(O)C=C1,prostate,Rat,Human,0.517241379,0.463216305,0.913043478,,,,,
NC1=CC2=C(C=CC=C2)C=C1,O=CC1=CC=CC=C1C=O,kidney,Rat,Human,0.25,0.813529432,0.732217573,,,,,
[Na+].NC1=C(\N=N\C2=CC=CC=C2C(F)(F)F)C2=C(C=C1)C=C(C=C2O)S([O-])(=O)=O,[Na+].CC(C)(C)C1=CC=C2C(C=CC(=C2S([O-])(=O)=O)C(C)(C)C)=C1,kidney,Rat,Human,0.261682243,0.36415565,0.732217573,,,,,
COC1=CC2=C(C=CC(=O)O2)C(OC)=C1,[Na+].CC1=CC2=C(C(=O)C(=O)C2=C1O)C(C)(C)C,kidney,Rat,Human,0.150684932,0.861920536,0.732217573,,,,,
OC(C1=CC=C(Cl)C=C1)(C1=CN=CN=C1)C1=CC=CC=C1Cl,OC(C1=CC=CC=C1)(C1=CN=CN=C1)C1=CC=CC=C1Cl,kidney,Rat,Human,0.722222222,0.730359256,0.732217573,,,,,
C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,CC(=O)OC1CCN(CC1)C1(C)CCCC1,prostate,Rat,Human,0.204545455,0.457887441,0.913043478,,,,,
OC1=CC2=C(C=CC=C2)C2=CC=CC=C12,ClC(Cl)(Cl)SN1C(=O)C2=C(C=CC=C2)C1=O,prostate,Rat,Human,0.191780822,0.664211571,0.913043478,,,,,
