Source_Mol,Optimized_Mol,Tissue,Source_Organism,Optimized_Organism,Tanimoto_Similarity,Tissue_Activity,Diversity,,,,Tanimoto_Similarity,Tissue_Activity
CC(C)(C1=CC=CC=C1)C1=CC=C(O)C=C1,OC1=CC=C(C=C1)C1=CC=C(O)C=C1,kidney,Rat,Human,0.370967742,0.825511694,0.907172996,,,,,
O=C1C=C(OC2=CC=CC=C12)C1=CC=CC=C1,O=C([Hg]Cl)C1=CC=CC=C1,kidney,Rat,Human,0.238095238,0.985908449,0.907172996,,,,,
[Na+].CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S([O-])(=O)=O,CCCCCC[Sn](CCC)(CCCC)OC(=O)CCOC(C)CC,kidney,Rat,Human,0.302752294,0.721419215,0.907172996,,,,,
OC1=CC=C(C=C1)C(=O)OC1=CC=CC=C1,CC1=CC=C(\C(=O)C2=CC(O)=C(O)C=C2)C=C1,kidney,Rat,Human,0.347826087,0.485564023,0.907172996,,,,,
COP(=S)(OC)OC1=CC=C(C(C)=C1)[N+]([O-])=O,[Na+].[Na+].[S-]B([O-])[Ti]([O-])=O,prostate,Rat,Human,0.034482759,0.470429569,0.967391304,,,,,
CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,OC1=C(C)C=C(\CC=C\C(=O)C=C\C(=O)C(C)=C1)C1=C=CC=C1,prostate,Rat,Human,0.153846154,0.820790529,0.967391304,,,,,
O=C(C(=O)C1=CC=CC=C1)C1=CC=CC=C1,O=C(OCCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,0.597014925,0.112340309,0.907172996,,,,,
"C*.O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1 |c:6,8,14,16,22,24,t:4,12,20,lp:2:2,4:2,11:2,18:2,m:1:6.7.8|",CC(=O)O[Sn](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=C1,kidney,Rat,Human,0.364583333,0.999957561,0.907172996,,,,,
CC(C)(O)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,[O-][N+](=O)C1=CC=C(C(=C1)C(C)(C)C)[N+]([O-])=O,prostate,Rat,Human,0.393939394,0.533906043,0.967391304,,,,,
Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,ClC12C(=O)C3(Cl)C4(Cl)C1(Cl)C1(Cl)C2(Cl)C3(Cl)C4(Cl)C1(Cl)Cl,kidney,Rat,Human,0.078947368,0.655655742,0.907172996,,,,,
"C*.O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1 |c:6,8,14,16,22,24,t:4,12,20,lp:2:2,4:2,11:2,18:2,m:1:6.7.8|",CC(=O)O[Sn](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,0.483870968,0.999604404,0.907172996,,,,,
NC1=CC2=C(C=CC=C2)C=C1,[O-][N+]1=C([S-])C=CC=C1.O,kidney,Rat,Human,0.195652174,0.786755383,0.907172996,,,,,
CCN(CC)C1=CC=C(C=O)C(O)=C1,CC(=O)O[Hg]C1=CC=C(O)C=C1,kidney,Rat,Human,0.183333333,0.995876431,0.907172996,,,,,
COC1=CC2=C(C=C1OC)[C@H]1[C@@H](CO2)OC2=C(C=CC3=C2C[C@@H](O3)C(C)=C)C1=O,[H][C@]12CC[C@H](O)[C@@]1(C)C[C@@]1([H])C3=CC(OC(C)=C3C(=O)C(=O)OC)=C12,kidney,Rat,Human,0.150793651,0.063846968,0.907172996,,,,,
C[C@H]1CCCC(=O)CCC\C=C\C2=C(C(O)=CC(O)=C2)C(=O)O1,CC[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC=C4)[C@@H]1CC[C@@]2(O)C#C,kidney,Rat,Human,0.154545455,0.723648071,0.907172996,,,,,
CCCCC(CC)COC(=O)C1=CC=C(O)C=C1,CCN(CCC)CCOC(=O)C1=CC=C(SC)C=C1,prostate,Rat,Human,0.430555556,0.50959599,0.967391304,,,,,
Cl.CCN(CC1=CC=CN=C1)C(=O)C1=CC=CC(Cl)=C1[C@]1(C)C(=O)N(CC2=C(OC)C=C(OC)C=C2)C2=CC=C(Cl)C=C12,Cl.CCN(C1=CC=C(Cl)C=C1)N=C(C1=C(Cl)C=C(Cl)C=C1)C(=O)N(C1=O)C=CC=C1,kidney,Rat,Human,0.31372549,0.187352806,0.907172996,,,,,
CSC1=NC(NC(C)C)=NC(NC(C)C)=N1,CSC1=NC(NC(C)C)=NC(C)=N1,brain,Rat,Human,0.625,0.758121192,1,,,,,
"C*.O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1 |c:6,8,14,16,22,24,t:4,12,20,lp:2:2,4:2,11:2,18:2,m:1:6.7.8|",CC(=O)O[Sn](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,0.483870968,0.999604404,0.907172996,,,,,
ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1,ClC1=NNC(Cl)=NC=N1,brain,Rat,Human,0.166666667,0.610533535,1,,,,,
Cl.CN1C(=O)C=C(OC2=C(F)C=C(F)C=C2)C2=C1N=C(NCC(C)(C)O)N=C2,[Na+].CCC1=NN=NC1=C(C(=O)NS(=O)NC1=C(NC(=O)C(F)F)C=CC=C1)C(=O)C#N,kidney,Rat,Human,0.128571429,0.188057005,0.907172996,,,,,
CS([O-])(=O)=O.CN(C[C@@H](CC[N+]12CCC(CC1)(CC2)C1CCCCC1)C1=CC(Cl)=C(Cl)C=C1)C(=O)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,[Cl-].CN(C)C(=O)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,kidney,Rat,Human,0.321167883,0.611754417,0.907172996,,,,,
[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)CC[C@]12C,CC(=O)[N+]([O-])=O,prostate,Rat,Human,0.028571429,0.510925055,0.967391304,,,,,
CSC1=NC(NC(C)C)=NC(NC(C)C)=N1,CCNC1=NC(NC(C)=NC(N)(C)C)=N1,brain,Rat,Human,0.138888889,0.838495195,1,,,,,
CCCCOC(=O)C1=CC=C(O)C=C1,CCC[Hg]SC1=C(N)C=C(C)C=C1,kidney,Rat,Human,0.19047619,1,0.907172996,,,,,
COP(=S)(OC)SCN1C(=O)C2=C(C=CC=C2)C1=O,C\N=N\C1=C(SC)C(=O)N=NC2=CC=C1C=C=C2,kidney,Rat,Human,0.144444444,0.527625799,0.907172996,,,,,
CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,OC1=CC=C(C2=CC=C(O)C=C2)C=C1,kidney,Rat,Human,0.581818182,0.825511694,0.907172996,,,,,
ClC1=CC=C(C=C1)C(=O)C1=CC=CC=C1,NC1=C(Cl)C=C(N=NC(=O)C2=CC=C(Cl)C=C2)C=C1,kidney,Rat,Human,0.411764706,0.64814502,0.907172996,,,,,
OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1,CC1=CC(O)=C(O)C=C1,prostate,Rat,Human,0.240740741,0.836613834,0.967391304,,,,,
ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O,Cl.Cl.Cl.CN1CSN1C(=O)C1=C(Cl)C=CC=C1,brain,Rat,Human,0.103896104,0.595727682,1,,,,,
[Cl-].CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC,CCCC[Sn](CCC)(CCCC)O[Sn](CCCC)(CCCC)CC,kidney,Rat,Human,0.321100917,0.971236229,0.907172996,,,,,
CCCCCCCCC(=O)NCC1=CC(OC)=C(O)C=C1,CCCCCCCCCCCOC(=O)C1=CC=C(O)C=C1,kidney,Rat,Human,0.4,0.517557442,0.907172996,,,,,
CCCC[Sn](CCCC)(CCCC)OC(=O)C1=CC=CC=C1,CCCC[Sn](CCC)(CCC)OC(=O)C1=CC=CC=C1,prostate,Rat,Human,0.787878788,0.768966675,0.967391304,,,,,
CS([O-])(=O)=O.CN(C[C@@H](CC[N+]12CCC(CC1)(CC2)C1CCCCC1)C1=CC(Cl)=C(Cl)C=C1)C(=O)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,N1CCCC1CCN1CC1,kidney,Rat,Human,0.066225166,0.476049751,0.907172996,,,,,
Cl.OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=CC=C(O)C=C2S1,Cl.COC1=CC=C(C=C1)C1=C(NN=C(C2=CC=C(Cl)C=C2)C2=CC=C(O)C=C2)C=C1,kidney,Rat,Human,0.34057971,0.732072175,0.907172996,,,,,
CCCCC(CC)COC(=O)C1=CC=C(O)C=C1,CCCC[Sn](CCC)(CC)OC1=CC=C(C=C1)C(=O)OC1=CC=CC=C1,prostate,Rat,Human,0.333333333,0.628822684,0.967391304,,,,,
O=C(C(=O)C1=CC=CC=C1)C1=CC=CC=C1,O=C(OC1=CC=CC=C1SSC1=CC=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,0.425,0.100912474,0.907172996,,,,,
CCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1,OC(=O)C1=CC(O)=C(O)C(O)=C1,kidney,Rat,Human,0.433333333,0.740331531,0.907172996,,,,,
OC1=C(OC2=CC=C(Cl)C=C2Cl)C=CC(Cl)=C1,OC1=CC=C(OC2=CC=C(Cl)C=C2)C=C1,prostate,Rat,Human,0.343283582,0.514485657,0.967391304,,,,,
CC(C)=CC1C(C(=O)OC2CC(=O)C(CC#C)=C2C)C1(C)C,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CCC[C@@]2(OC#C)C,kidney,Rat,Human,0.155963303,0.611247599,0.907172996,,,,,
CC(C)N(C(=O)CCl)C1=CC=CC=C1,[Na+].C[Hg]SC1=C(SC)C=CC=C1,kidney,Rat,Human,0.228070175,1,0.907172996,,,,,
CCC(C)N(C)C(=O)C1=CC2=C(C=CC=C2)C(=N1)C1=CC=CC=C1Cl,CSC(=O)NC1=CC=C(SC(=S)NC2=CC=C(SC=N2)C=CS1)C1=CC=CC=C1,kidney,Rat,Human,0.212598425,0.488658667,0.907172996,,,,,
O=C(CC1=CC=CC=C1)C1=CC=CC=C1,CC(C)(C)CC(OC(=O)OC1=CC=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,0.432432432,0.120017707,0.907172996,,,,,
Cl.COC1=CC=CC(=C1)C1=C(Cl)C=C(\C=C/CN2CCCCCC2)C=C1,Cl.CSC1=CC=CC(=C1)C1=CC=C(SC)N=C1,kidney,Rat,Human,0.222222222,0.259902626,0.907172996,,,,,
CC(C)(C1=CC=CC=C1)C1=CC=C(O)C=C1,OC1=CC=C(C=C1)C(=O)C1=CC=C(O)C=C1,kidney,Rat,Human,0.343283582,0.808562815,0.907172996,,,,,
Cl.Cl.CC1=C(N)C=CC(=C1)C1=CC(C)=C(N)C=C1,CC1=CC(O)=C(C=C1SC1=CC(C)=C(O)N)C=C1,kidney,Rat,Human,0.202531646,0.399675876,0.907172996,,,,,
CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,CCC[Sn](Cl)(CCC)CCC,kidney,Rat,Human,0.170454545,0.989449322,0.907172996,,,,,
CCCC[Sn](CCCC)(CCCC)OC(=O)C1=CC=CC=C1,CCC[Sn](CCCCC)(CCCC)OC(=O)C1=CC=CC=C1,prostate,Rat,Human,0.878787879,0.731142104,0.967391304,,,,,
[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)CC[C@]12C,C[C@H]1[C@H]2CC[C@H]3[C@@H](CCCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@@]2(O)C#C,prostate,Rat,Human,0.316326531,0.51061058,0.967391304,,,,,
CCN(CC)C1=CC=C2C(C)=CC(=O)OC2=C1,CN(C)C1=CSC2=C1C=C(N)C=C2,prostate,Rat,Human,0.220588235,0.701705575,0.967391304,,,,,
OC1=CC=C(C=C1)C(C1=CC=C(O)C=C1)C(Cl)(Cl)Cl,ClC1=CC=C(C=C1)C(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl,kidney,Rat,Human,0.625,0.735302866,0.907172996,,,,,
CCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1,COC(=O)C1=CC(O)=C(O)C(O)=C1,prostate,Rat,Human,0.508474576,0.999889016,0.967391304,,,,,
C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@H](O)CC1CC(=O)NC(=O)C1,C\C=C1/NC(=O)\C=N\C=N\C(=O)NC1=O,kidney,Rat,Human,0.144578313,0.803823471,0.907172996,,,,,
C[C@H]1C[C@H]2[C@@H]3CC[C@](OC(C)=O)(C(C)=O)[C@@]3(C)CC[C@@H]2[C@@]2(C)CCC(=O)C=C12,C\C=C(/C)\C=C\C1=C(C)CCC1(C)C,prostate,Rat,Human,0.164948454,0.669468582,0.967391304,,,,,
ClC1=CC=C(C=C1)C(=O)C1=CC=CC=C1,NC1=CC=C(C=C1)B(C1=CC=CC=C1)C1=CC=C1,kidney,Rat,Human,0.338028169,0.927065194,0.907172996,,,,,
CC1=CC=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1N,OC1=CC=C2C(=O)C3=C(C=C(O)C=C3)C(=O)C2=C1,kidney,Rat,Human,0.449275362,0.791067362,0.907172996,,,,,
O=C1C=CC(=O)C2=C1C=CC=C2,O=CC1=C(O)C=CC=C1,prostate,Rat,Human,0.282608696,0.557898223,0.967391304,,,,,
CC1(C)C(C(=O)OC(C#N)C2=CC=CC(OC3=CC=CC=C3)=C2)C1(C)C,CC(C)[C@@H](NC1=C(Cl)C=C(C=C1)C(F)(F)F)C(=O)OC(C#N)C1=CC=CC=C1,kidney,Rat,Human,0.361111111,0.46349737,0.907172996,,,,,
ClC1=C(Cl)C(C#N)=C(Cl)C(C#N)=C1Cl,C#N,prostate,Rat,Human,0.026315789,0.834664941,0.967391304,,,,,
CCN(CC)C(=O)C1=CC=CC(C)=C1,[Na+].CC[Hg]SC1=CC=CC=C1,kidney,Rat,Human,0.192982456,1,0.907172996,,,,,
C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@H](O)CC1CC(=O)NC(=O)C1,[H][C@@]12CC[C@H](C)[C@@]1(C)CC[C@@]1([H])CC([H])[C@@]21[H],kidney,Rat,Human,0.1375,0.737185121,0.907172996,,,,,
OC(=O)C1=C(O)C2=CC=CC=C2C(O)=C1,O=C(O)C(O)=O,kidney,Rat,Human,0.125,0.568427444,0.907172996,,,,,
CCCCCCOC1=CC=C(O)C=C1,OC1=CC=C([Hg]Cl)C=C1,kidney,Rat,Human,0.326530612,0.998469174,0.907172996,,,,,
CC1=C(C2=C(C=CC=C2)N1CCCCC(O)=O)C1=CN=CC=C1,CC1=CC(C2=NN=C3C=CC=C3)SC2=C1,kidney,Rat,Human,0.12244898,0.987267792,0.907172996,,,,,
CCNC1=NC(SC)=NC(NC(C)(C)C)=N1,CCCNC(=S)N=S,kidney,Rat,Human,0.066666667,0.007773317,0.907172996,,,,,
OC1=C(OC2=CC=C(Cl)C=C2Cl)C=CC(Cl)=C1,NC1=C(N)C=C(Cl)C=C1Cl,kidney,Rat,Human,0.25862069,0.194692254,0.907172996,,,,,
N#CSCSC1=NC2=CC=CC=C2S1,N#CSCSC#N,kidney,Rat,Human,0.224489796,0.891598046,0.907172996,,,,,
C[C@H]1CCCC(=O)CCC\C=C\C2=C(C(O)=CC(O)=C2)C(=O)O1,[C@]12CC[C@H]3[C@@H](CCCC4=C3C=CC(O)=C4)[C@@H]1CC[C@@H]2O,kidney,Rat,Human,0.244897959,0.788778543,0.907172996,,,,,
[Na+].COC1=CC2=C(SC(C(=O)NC3=NN=N[N-]3)=C2OC(C)C)C=C1,[Na+].C[Hg]SC1=CC=C(C=C1)S([O-])(=O)=O,kidney,Rat,Human,0.108695652,0.999999642,0.907172996,,,,,
CN(C)C(=O)NC1=CC=CC(=C1)C(F)(F)F,NC1=CC=C(C=C1)C1=CC=CC(=C1)C(F)(F)F,kidney,Rat,Human,0.348484848,0.338828236,0.907172996,,,,,
NC1=C(Cl)C=C(C=C1)[N+]([O-])=O,[O-][N+](=O)C1=C(SCNC(=O)C1=O)[N+]([O-])=O,kidney,Rat,Human,0.152542373,0.212440819,0.907172996,,,,,
NC1=CC2=C(C=CC=C2)C=C1,[Na+].[O-][N+]1=C([S-])C=CC=C1,kidney,Rat,Human,0.195652174,0.738793612,0.907172996,,,,,
CCCCOC(=O)C1=CC=C(O)C=C1,O=C1C=C([Hg]Cl)C=C1,kidney,Rat,Human,0.109090909,0.995477974,0.907172996,,,,,
O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1,F[Sn](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,0.494117647,0.998416066,0.907172996,,,,,
CCC1=C(OCC(O)=O)C=CC(SCC2=C(CN3CCN(CC3)C3=CC=C(OC)C=C3)N=C(S2)C2=CC=C(C=C2)C(F)(F)F)=C1,COC1=CC=C(C=C1)C(=O)OC(COC(=O)C)(F)F,kidney,Rat,Human,0.201342282,0.255664825,0.907172996,,,,,
O=C1C=CC(=O)C2=C1C=CC=C2,CO\N=C(\C1=CC=CC=C1)C1=NC=CS1=O,prostate,Rat,Human,0.230769231,0.563274384,0.967391304,,,,,
COC1=CC(=CC=C1N)C1=CC(OC)=C(N)C=C1,O.OC1=CC=C(C=C1)N=NC1=CC=C(O)C=C1,kidney,Rat,Human,0.168674699,0.830354869,0.907172996,,,,,
C[C@H]1CCCC(=O)CCC\C=C\C2=C(C(O)=CC(O)=C2)C(=O)O1,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3CC[C@@]21[H],kidney,Rat,Human,0.21,0.8048805,0.907172996,,,,,
CC1=CC(=CC=C1O)C(C)(C)C1=CC(C)=C(O)C=C1,OC1=C(O)C=C(C=C1)C1=CC=C(O)C=C1,prostate,Rat,Human,0.328571429,0.715688825,0.967391304,,,,,
CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,C\C(=C(\CC)C(=O)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,prostate,Rat,Human,0.652173913,0.634551823,0.967391304,,,,,
OC1=CC=C(C=C1)C(=O)OCC1=CC=CC=C1,OC1=CC=C(C=C1)C(=O)OC1=CC=CC=C1,kidney,Rat,Human,0.696428571,0.701664805,0.907172996,,,,,
CCCOC(=O)C1=CC(O)=C(O)C(O)=C1,CCCC[Sn](CCC)(CC)COC(=O)C1=CC=C(O)C=C1,brain,Rat,Human,0.240506329,0.826405287,1,,,,,
CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,[Na+].CC([O-])=O,kidney,Rat,Human,0.06557377,0.246606961,0.907172996,,,,,
CC(C)NC(=O)N1CC(=O)N(C1=O)C1=CC(Cl)=CC(Cl)=C1,CCC(C)N1N=C(C=C1)C1=NC=NC=C1,brain,Rat,Human,0.112359551,0.930319369,1,,,,,
CCOC(=O)CCC(=O)OCC,COC(=O)C\N=C(S)N=N\C(=O)NC(=O)OC,prostate,Rat,Human,0.184615385,0.888313413,0.967391304,,,,,
C[C@H]1CCCC(=O)CCC\C=C\C2=C(C(O)=CC(O)=C2)C(=O)O1,C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1CC[C@@H]2O,kidney,Rat,Human,0.21,0.779802382,0.907172996,,,,,
CCN(CC)C(=O)C(C)OC1=C2C=CC=CC2=CC=C1,CC(C)(C)C1=CC=C(O)C=C1,kidney,Rat,Human,0.180555556,0.331369668,0.907172996,,,,,
CCCCCCCCCC1=CC=C(O)C=C1,CCC(=O)O[Hg]C1=CC=C(O)C=C1,prostate,Rat,Human,0.301587302,0.5228405,0.967391304,,,,,
NC1=CC2=C(C=CC=C2)C=C1,[Na+].[O-][N+]1=C([S-])C=CS1,kidney,Rat,Human,0.083333333,0.973922729,0.907172996,,,,,
[Na+].NC1=C(\N=N\C2=CC=CC=C2C(F)(F)F)C2=C(C=C1)C=C(C=C2O)S([O-])(=O)=O,[Na+].[Na+].OC1=C(N=NC2=CC=C(C=C2)S([O-])(=O)=O)C(F)(F)C(NC=C=C1)C1=CC=C(C=C1)S([O-])(=O)=O,kidney,Rat,Human,0.28030303,0.369848698,0.907172996,,,,,
COC1=CC2=C(C=CC(=O)O2)C(OC)=C1,OC1=CC=C(C(=O)C2=CC=CC=C2)C=C1,kidney,Rat,Human,0.133333333,0.468700886,0.907172996,,,,,
OC(C1=CC=C(Cl)C=C1)(C1=CN=CN=C1)C1=CC=CC=C1Cl,OC1=CC=C(C=C1)C(CN1C=NC=N)=N1,kidney,Rat,Human,0.141304348,0.560330927,0.907172996,,,,,
C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,C1CC(C)=CC(=O)C1(C)C,prostate,Rat,Human,0.225352113,0.674418032,0.967391304,,,,,
OC1=CC2=C(C=CC=C2)C2=CC=CC=C12,OC1=CC=C(C2=CC=CC3=C2C=CC=C3)C=C1,prostate,Rat,Human,0.446153846,0.504910111,0.967391304,,,,,
CCC1=C(OCC(O)=O)C=CC(SCC2=C(CN3CCN(CC3)C3=CC=C(OC)C=C3)N=C(S2)C2=CC=C(C=C2)C(F)(F)F)=C1,CC1=CC=C(C(O)=O)C=C1,prostate,Rat,Human,0.115107914,0.450633347,0.967391304,,,,,
OC1=CC2=C(C=CC=C2)C2=CC=CC=C12,N=C1C2=C(C=CC=C2)C=CC2=CC=CC=C=C12,prostate,Rat,Human,0.382352941,0.786917031,0.967391304,,,,,
CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CCC4=CC=CC=C4[C@H]3C[C@]12C,kidney,Rat,Human,0.127118644,0.523364127,0.907172996,,,,,
ClC1=C(Cl)C(C#N)=C(Cl)C(C#N)=C1Cl,CC#CI,prostate,Rat,Human,0.046511628,0.950585186,0.967391304,,,,,
CC1=C(CCOC2=CC=C(C[C@H](NC3=C(C=CC=C3)C(=O)C3=CC=CC=C3)C(O)=O)C=C2)N=C(O1)C1=CC=CC=C1,O=CC1=CC=C(C(=O)NC2=CC=C(N=O)C=C2)C=C1,brain,Rat,Human,0.176870748,0.442140549,1,,,,,
OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1,OC1=CC=C(O)C=C1,prostate,Rat,Human,0.226415094,0.691590607,0.967391304,,,,,
CC1(C)N(Br)C(=O)N(Br)C1=O,CN(C)C1=CC=C(Br)N=C1,brain,Rat,Human,0.102040816,0.71737653,1,,,,,
CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC,CCCCCOP(=O)O\C=O,kidney,Rat,Human,0.184210526,0.044779751,0.907172996,,,,,
[Cl-].CN(C)C1=CC=C(C=C1)C(C1=CC=C(C=C1)N(C)C)=C1C=CC(C=C1)=[N+](C)C,CN=C1C=CC(C=C1)=C1C=CC=C1,brain,Rat,Human,0.158415842,0.913354039,1,,,,,
CCOC(=O)CCN(SN(C)C(=O)OC1=CC=CC2=C1OC(C)(C)C2)C(C)C,C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC=C4)[C@@H]1CC[C@@H]2OC(O)=O,kidney,Rat,Human,0.148760331,0.673393369,0.907172996,,,,,
